occupancy_date,sector,capacity_type,location_city,occupied_beds,capacity_actual_bed,occupied_rooms,capacity_actual_room,occupancy_rate_beds,occupancy_rate_rooms,occupancy_rate
2024-01-01,Women,Bed Based Capacity,Toronto,61,61,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,108,109,0,0,0.9908256880733946,0,99.08256880733946
2024-01-01,Men,Bed Based Capacity,Toronto,34,34,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,65,65,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,72,72,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Scarborough,89,89,0,0,1,0,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,0,0,7,7,0,1,100
2024-01-01,Men,Bed Based Capacity,North York,278,278,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,North York,132,132,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,North York,6,6,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,North York,4,4,0,0,1,0,100
2024-01-01,Mixed Adult,Room Based Capacity,Scarborough,0,0,322,322,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,0,0,155,155,0,1,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,38,38,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,NA,19,19,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,83,83,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,49,49,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Toronto,45,45,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Toronto,23,23,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,54,54,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,15,17,0,0,0.8823529411764706,0,88.23529411764706
2024-01-01,Youth,Bed Based Capacity,Toronto,10,12,0,0,0.8333333333333334,0,83.33333333333334
2024-01-01,Youth,Bed Based Capacity,Toronto,12,15,0,0,0.8,0,80
2024-01-01,Women,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,20,20,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,39,39,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,72,72,0,0,1,0,100
2024-01-01,Men,Room Based Capacity,Toronto,0,0,30,30,0,1,100
2024-01-01,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-01,Women,Room Based Capacity,Toronto,0,0,33,33,0,1,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,77,77,0,1,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,27,27,0,1,100
2024-01-01,Women,Bed Based Capacity,Toronto,86,86,0,0,1,0,100
2024-01-01,Women,Room Based Capacity,North York,0,0,55,55,0,1,100
2024-01-01,Men,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-01,Men,Room Based Capacity,Scarborough,0,0,131,131,0,1,100
2024-01-01,Men,Bed Based Capacity,Toronto,264,264,0,0,1,0,100
2024-01-01,Men,Room Based Capacity,North York,0,0,52,52,0,1,100
2024-01-01,Men,Bed Based Capacity,Toronto,52,52,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,46,46,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,71,71,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,50,50,0,0,1,0,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,4,4,0,1,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,32,32,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,NA,12,12,0,0,1,0,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,27,27,0,1,100
2024-01-01,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Toronto,25,25,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-01,Women,Bed Based Capacity,Toronto,27,28,0,0,0.9642857142857143,0,96.42857142857143
2024-01-01,Youth,Bed Based Capacity,Toronto,27,27,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Etobicoke,33,33,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Etobicoke,19,20,0,0,0.95,0,95
2024-01-01,Youth,Bed Based Capacity,Scarborough,10,10,0,0,1,0,100
2024-01-01,Youth,Bed Based Capacity,Scarborough,40,41,0,0,0.975609756097561,0,97.5609756097561
2024-01-02,Families,Room Based Capacity,Toronto,0,0,149,149,0,1,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,0,0,57,57,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,8,8,0,0,1,0,100
2024-01-02,Families,Room Based Capacity,North York,0,0,67,67,0,1,100
2024-01-02,Families,Room Based Capacity,North York,0,0,160,161,0,0.9937888198757764,99.37888198757764
2024-01-02,Mixed Adult,Room Based Capacity,Etobicoke,0,0,142,142,0,1,100
2024-01-02,Men,Room Based Capacity,Toronto,0,0,39,39,0,1,100
2024-01-02,Men,Bed Based Capacity,Toronto,42,42,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,22,22,0,0,1,0,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,29,29,0,1,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,63,64,0,0.984375,98.4375
2024-01-02,Mixed Adult,Room Based Capacity,North York,0,0,12,12,0,1,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,0,0,81,81,0,1,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,0,0,15,15,0,1,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,0,0,76,76,0,1,100
2024-01-02,Men,Bed Based Capacity,Toronto,15,18,0,0,0.8333333333333334,0,83.33333333333334
2024-01-02,Women,Room Based Capacity,Scarborough,0,0,103,103,0,1,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,44,44,0,1,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,49,49,0,1,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,20,20,0,1,100
2024-01-02,Men,Bed Based Capacity,Toronto,61,68,0,0,0.8970588235294118,0,89.70588235294117
2024-01-02,Mixed Adult,Room Based Capacity,Vaughan,0,0,66,69,0,0.9565217391304348,95.65217391304348
2024-01-02,Men,Bed Based Capacity,Toronto,45,48,0,0,0.9375,0,93.75
2024-01-02,Men,Bed Based Capacity,Toronto,101,101,0,0,1,0,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,33,33,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,44,48,0,0,0.9166666666666666,0,91.66666666666666
2024-01-02,Mixed Adult,Room Based Capacity,NA,0,0,136,136,0,1,100
2024-01-02,Mixed Adult,Room Based Capacity,NA,0,0,11,11,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,93,93,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,67,67,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,31,36,0,0,0.8611111111111112,0,86.11111111111111
2024-01-02,Men,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,52,53,0,0,0.9811320754716981,0,98.11320754716981
2024-01-02,Men,Bed Based Capacity,Toronto,106,106,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,32,35,0,0,0.9142857142857143,0,91.42857142857143
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,0,0,63,65,0,0.9692307692307692,96.92307692307692
2024-01-02,Women,Bed Based Capacity,Toronto,87,87,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,1,2,0,0,0.5,0,50
2024-01-02,Youth,Bed Based Capacity,Toronto,93,94,0,0,0.9893617021276596,0,98.93617021276596
2024-01-02,Youth,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,26,28,0,0,0.9285714285714286,0,92.85714285714286
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Scarborough,50,50,0,0,1,0,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,0,0,81,83,0,0.9759036144578314,97.59036144578313
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,44,46,0,0,0.9565217391304348,0,95.65217391304348
2024-01-02,Youth,Bed Based Capacity,Toronto,49,50,0,0,0.98,0,98
2024-01-02,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-02,Youth,Room Based Capacity,Scarborough,0,0,46,46,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,5,5,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,7,11,0,0,0.6363636363636364,0,63.63636363636363
2024-01-02,Women,Bed Based Capacity,Toronto,36,37,0,0,0.972972972972973,0,97.2972972972973
2024-01-02,Women,Bed Based Capacity,Toronto,23,25,0,0,0.92,0,92
2024-01-02,Women,Bed Based Capacity,Toronto,50,52,0,0,0.9615384615384616,0,96.15384615384616
2024-01-02,Women,Bed Based Capacity,Toronto,36,36,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,70,70,0,0,1,0,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,0,0,264,264,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,63,70,0,0,0.9,0,90
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,54,60,0,0,0.9,0,90
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,113,119,0,0,0.9495798319327731,0,94.9579831932773
2024-01-02,Youth,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,26,26,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,23,25,0,0,0.92,0,92
2024-01-02,Men,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,4,5,0,0,0.8,0,80
2024-01-02,Men,Room Based Capacity,Toronto,0,0,47,47,0,1,100
2024-01-02,Women,Bed Based Capacity,Toronto,61,61,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,109,111,0,0,0.9819819819819819,0,98.1981981981982
2024-01-02,Men,Bed Based Capacity,Toronto,34,34,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,66,66,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,73,73,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Scarborough,89,89,0,0,1,0,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,0,0,7,7,0,1,100
2024-01-02,Men,Bed Based Capacity,North York,278,278,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,North York,132,132,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,North York,6,6,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,North York,4,4,0,0,1,0,100
2024-01-02,Mixed Adult,Room Based Capacity,Scarborough,0,0,322,322,0,1,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,0,0,161,161,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,NA,19,19,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,82,82,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,49,49,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,45,45,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,23,23,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,54,54,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,15,17,0,0,0.8823529411764706,0,88.23529411764706
2024-01-02,Youth,Bed Based Capacity,Toronto,10,12,0,0,0.8333333333333334,0,83.33333333333334
2024-01-02,Youth,Bed Based Capacity,Toronto,12,15,0,0,0.8,0,80
2024-01-02,Women,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,20,20,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,39,39,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,72,72,0,0,1,0,100
2024-01-02,Men,Room Based Capacity,Toronto,0,0,30,30,0,1,100
2024-01-02,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-02,Women,Room Based Capacity,Toronto,0,0,33,33,0,1,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,77,77,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,25,27,0,0.9259259259259259,92.5925925925926
2024-01-02,Women,Bed Based Capacity,Toronto,86,86,0,0,1,0,100
2024-01-02,Women,Room Based Capacity,North York,0,0,55,55,0,1,100
2024-01-02,Men,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-02,Men,Room Based Capacity,Scarborough,0,0,131,131,0,1,100
2024-01-02,Men,Bed Based Capacity,Toronto,264,264,0,0,1,0,100
2024-01-02,Men,Room Based Capacity,North York,0,0,52,52,0,1,100
2024-01-02,Men,Bed Based Capacity,Toronto,52,52,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,46,46,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,71,71,0,0,1,0,100
2024-01-02,Men,Bed Based Capacity,Toronto,50,50,0,0,1,0,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,4,4,0,1,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,32,32,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,NA,12,12,0,0,1,0,100
2024-01-02,Families,Room Based Capacity,Toronto,0,0,27,27,0,1,100
