occupancy_date,sector,capacity_type,location_city,occupied_beds,capacity_actual_bed,occupied_rooms,capacity_actual_room,occupancy_rate_beds,occupancy_rate_rooms,occupancy_rate
2024-01-06,Men,Bed Based Capacity,Toronto,46,48,0,0,0.9583333333333334,0,95.83333333333334
2024-01-06,Men,Bed Based Capacity,Toronto,101,101,0,0,1,0,100
2024-01-06,Families,Room Based Capacity,Toronto,0,0,33,33,0,1,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,41,48,0,0,0.8541666666666666,0,85.41666666666666
2024-01-06,Mixed Adult,Room Based Capacity,NA,0,0,133,133,0,1,100
2024-01-06,Mixed Adult,Room Based Capacity,NA,0,0,16,16,0,1,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,92,93,0,0,0.989247311827957,0,98.9247311827957
2024-01-06,Men,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,67,67,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,30,36,0,0,0.8333333333333334,0,83.33333333333334
2024-01-06,Men,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,53,53,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,105,105,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,32,35,0,0,0.9142857142857143,0,91.42857142857143
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,0,0,63,65,0,0.9692307692307692,96.92307692307692
2024-01-06,Women,Bed Based Capacity,Toronto,88,88,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,2,2,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,27,28,0,0,0.9642857142857143,0,96.42857142857143
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Scarborough,50,50,0,0,1,0,100
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,0,0,81,83,0,0.9759036144578314,97.59036144578313
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,22,25,0,0,0.88,0,88
2024-01-06,Youth,Bed Based Capacity,Toronto,49,50,0,0,0.98,0,98
2024-01-06,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-06,Youth,Room Based Capacity,Scarborough,0,0,46,46,0,1,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,5,5,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,7,11,0,0,0.6363636363636364,0,63.63636363636363
2024-01-06,Women,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,23,25,0,0,0.92,0,92
2024-01-06,Women,Bed Based Capacity,Toronto,51,52,0,0,0.9807692307692307,0,98.07692307692307
2024-01-06,Women,Bed Based Capacity,Toronto,36,36,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,70,70,0,0,1,0,100
2024-01-06,Mixed Adult,Room Based Capacity,North York,0,0,267,267,0,1,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,63,70,0,0,0.9,0,90
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,43,58,0,0,0.7413793103448276,0,74.13793103448276
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,25,26,0,0,0.9615384615384616,0,96.15384615384616
2024-01-06,Men,Bed Based Capacity,Toronto,23,25,0,0,0.92,0,92
2024-01-06,Men,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,4,5,0,0,0.8,0,80
2024-01-06,Men,Room Based Capacity,Toronto,0,0,47,47,0,1,100
2024-01-06,Women,Bed Based Capacity,Toronto,61,61,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,110,110,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,34,34,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,66,66,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,74,74,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Scarborough,89,89,0,0,1,0,100
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,0,0,7,7,0,1,100
2024-01-06,Men,Bed Based Capacity,North York,278,278,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,North York,132,132,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,North York,5,6,0,0,0.8333333333333334,0,83.33333333333334
2024-01-06,Women,Bed Based Capacity,North York,4,4,0,0,1,0,100
2024-01-06,Mixed Adult,Room Based Capacity,Scarborough,0,0,323,323,0,1,100
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,0,0,164,164,0,1,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,36,36,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,NA,19,19,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,83,83,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,49,49,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,45,45,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,23,23,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,54,54,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,15,17,0,0,0.8823529411764706,0,88.23529411764706
2024-01-06,Youth,Bed Based Capacity,Toronto,11,12,0,0,0.9166666666666666,0,91.66666666666666
2024-01-06,Youth,Bed Based Capacity,Toronto,12,15,0,0,0.8,0,80
2024-01-06,Women,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,20,20,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,39,39,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,72,72,0,0,1,0,100
2024-01-06,Men,Room Based Capacity,Toronto,0,0,30,30,0,1,100
2024-01-06,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-06,Women,Room Based Capacity,Toronto,0,0,33,33,0,1,100
2024-01-06,Families,Room Based Capacity,Toronto,0,0,77,77,0,1,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-06,Families,Room Based Capacity,Toronto,0,0,25,27,0,0.9259259259259259,92.5925925925926
2024-01-06,Women,Bed Based Capacity,Toronto,85,85,0,0,1,0,100
2024-01-06,Women,Room Based Capacity,North York,0,0,53,53,0,1,100
2024-01-06,Men,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-06,Men,Room Based Capacity,Scarborough,0,0,130,130,0,1,100
2024-01-06,Men,Bed Based Capacity,Toronto,264,264,0,0,1,0,100
2024-01-06,Men,Room Based Capacity,North York,0,0,52,52,0,1,100
2024-01-06,Men,Bed Based Capacity,Toronto,52,52,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,46,46,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,71,71,0,0,1,0,100
2024-01-06,Men,Bed Based Capacity,Toronto,50,50,0,0,1,0,100
2024-01-06,Families,Room Based Capacity,Toronto,0,0,4,4,0,1,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,32,32,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,NA,12,12,0,0,1,0,100
2024-01-06,Families,Room Based Capacity,Toronto,0,0,26,27,0,0.9629629629629629,96.29629629629629
2024-01-06,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,25,25,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-06,Women,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Toronto,27,27,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Etobicoke,33,33,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Etobicoke,19,20,0,0,0.95,0,95
2024-01-06,Youth,Bed Based Capacity,Scarborough,10,10,0,0,1,0,100
2024-01-06,Youth,Bed Based Capacity,Scarborough,40,41,0,0,0.975609756097561,0,97.5609756097561
2024-01-07,Families,Room Based Capacity,Toronto,0,0,150,150,0,1,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,0,0,57,57,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,8,8,0,0,1,0,100
2024-01-07,Families,Room Based Capacity,North York,0,0,68,68,0,1,100
2024-01-07,Families,Room Based Capacity,North York,0,0,162,162,0,1,100
2024-01-07,Mixed Adult,Room Based Capacity,Etobicoke,0,0,144,144,0,1,100
2024-01-07,Men,Room Based Capacity,Toronto,0,0,39,39,0,1,100
2024-01-07,Men,Bed Based Capacity,Toronto,42,42,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,15,15,0,0,1,0,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,30,30,0,1,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,64,64,0,1,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,0,0,12,12,0,1,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,0,0,81,82,0,0.9878048780487805,98.78048780487805
2024-01-07,Mixed Adult,Room Based Capacity,North York,0,0,15,15,0,1,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,0,0,75,75,0,1,100
2024-01-07,Men,Bed Based Capacity,Toronto,12,18,0,0,0.6666666666666666,0,66.66666666666666
2024-01-07,Women,Room Based Capacity,Scarborough,0,0,103,103,0,1,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,42,42,0,1,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,47,47,0,1,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,18,19,0,0.9473684210526315,94.73684210526315
2024-01-07,Men,Bed Based Capacity,Toronto,63,68,0,0,0.9264705882352942,0,92.64705882352942
2024-01-07,Mixed Adult,Room Based Capacity,Vaughan,0,0,64,69,0,0.927536231884058,92.7536231884058
2024-01-07,Men,Bed Based Capacity,Toronto,46,48,0,0,0.9583333333333334,0,95.83333333333334
2024-01-07,Men,Bed Based Capacity,Toronto,101,101,0,0,1,0,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,32,32,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,39,48,0,0,0.8125,0,81.25
2024-01-07,Mixed Adult,Room Based Capacity,NA,0,0,133,133,0,1,100
2024-01-07,Mixed Adult,Room Based Capacity,NA,0,0,15,15,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,92,93,0,0,0.989247311827957,0,98.9247311827957
2024-01-07,Men,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,67,67,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,120,120,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,33,36,0,0,0.9166666666666666,0,91.66666666666666
2024-01-07,Men,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,53,53,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,105,105,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,33,35,0,0,0.9428571428571428,0,94.28571428571428
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,0,0,64,65,0,0.9846153846153847,98.46153846153847
2024-01-07,Women,Bed Based Capacity,Toronto,88,88,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,2,2,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,27,28,0,0,0.9642857142857143,0,96.42857142857143
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Scarborough,50,50,0,0,1,0,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,0,0,81,83,0,0.9759036144578314,97.59036144578313
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,49,50,0,0,0.98,0,98
2024-01-07,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-07,Youth,Room Based Capacity,Scarborough,0,0,46,46,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,5,5,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,7,11,0,0,0.6363636363636364,0,63.63636363636363
2024-01-07,Women,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,23,25,0,0,0.92,0,92
2024-01-07,Women,Bed Based Capacity,Toronto,52,52,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,36,36,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,70,70,0,0,1,0,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,0,0,267,267,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,62,70,0,0,0.8857142857142857,0,88.57142857142857
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,42,43,0,0,0.9767441860465116,0,97.67441860465115
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,118,119,0,0,0.9915966386554622,0,99.15966386554622
2024-01-07,Youth,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,25,26,0,0,0.9615384615384616,0,96.15384615384616
2024-01-07,Men,Bed Based Capacity,Toronto,23,25,0,0,0.92,0,92
2024-01-07,Men,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,4,5,0,0,0.8,0,80
2024-01-07,Men,Room Based Capacity,Toronto,0,0,47,47,0,1,100
2024-01-07,Women,Bed Based Capacity,Toronto,61,61,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,110,110,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,34,34,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,66,66,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,74,74,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Scarborough,89,89,0,0,1,0,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,0,0,7,7,0,1,100
2024-01-07,Men,Bed Based Capacity,North York,278,278,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,North York,132,132,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,North York,6,6,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,North York,4,4,0,0,1,0,100
2024-01-07,Mixed Adult,Room Based Capacity,Scarborough,0,0,323,323,0,1,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,0,0,164,164,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,36,36,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,NA,19,19,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,82,83,0,0,0.9879518072289156,0,98.79518072289156
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,49,49,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,45,45,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,23,23,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,54,54,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,15,17,0,0,0.8823529411764706,0,88.23529411764706
2024-01-07,Youth,Bed Based Capacity,Toronto,11,12,0,0,0.9166666666666666,0,91.66666666666666
2024-01-07,Youth,Bed Based Capacity,Toronto,12,15,0,0,0.8,0,80
2024-01-07,Women,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,20,20,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,39,39,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,72,72,0,0,1,0,100
2024-01-07,Men,Room Based Capacity,Toronto,0,0,30,30,0,1,100
2024-01-07,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-07,Women,Room Based Capacity,Toronto,0,0,33,33,0,1,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,77,77,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,25,27,0,0.9259259259259259,92.5925925925926
2024-01-07,Women,Bed Based Capacity,Toronto,85,85,0,0,1,0,100
2024-01-07,Women,Room Based Capacity,North York,0,0,53,53,0,1,100
2024-01-07,Men,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-07,Men,Room Based Capacity,Scarborough,0,0,130,130,0,1,100
2024-01-07,Men,Bed Based Capacity,Toronto,263,264,0,0,0.9962121212121212,0,99.62121212121212
2024-01-07,Men,Room Based Capacity,North York,0,0,52,52,0,1,100
2024-01-07,Men,Bed Based Capacity,Toronto,52,52,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,46,46,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,71,71,0,0,1,0,100
2024-01-07,Men,Bed Based Capacity,Toronto,50,50,0,0,1,0,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,4,4,0,1,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,32,32,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,NA,12,12,0,0,1,0,100
2024-01-07,Families,Room Based Capacity,Toronto,0,0,27,27,0,1,100
2024-01-07,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,25,25,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-07,Women,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Toronto,27,27,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Etobicoke,33,33,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Etobicoke,19,20,0,0,0.95,0,95
2024-01-07,Youth,Bed Based Capacity,Scarborough,10,10,0,0,1,0,100
2024-01-07,Youth,Bed Based Capacity,Scarborough,40,41,0,0,0.975609756097561,0,97.5609756097561
2024-01-08,Families,Room Based Capacity,Toronto,0,0,149,150,0,0.9933333333333333,99.33333333333333
2024-01-08,Mixed Adult,Room Based Capacity,Toronto,0,0,57,57,0,1,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,7,8,0,0,0.875,0,87.5
2024-01-08,Families,Room Based Capacity,North York,0,0,68,68,0,1,100
2024-01-08,Families,Room Based Capacity,North York,0,0,161,161,0,1,100
2024-01-08,Mixed Adult,Room Based Capacity,Etobicoke,0,0,144,144,0,1,100
2024-01-08,Men,Room Based Capacity,Toronto,0,0,39,39,0,1,100
2024-01-08,Men,Bed Based Capacity,Toronto,42,42,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,9,13,0,0,0.6923076923076923,0,69.23076923076923
2024-01-08,Families,Room Based Capacity,Toronto,0,0,30,30,0,1,100
2024-01-08,Families,Room Based Capacity,Toronto,0,0,64,64,0,1,100
2024-01-08,Mixed Adult,Room Based Capacity,North York,0,0,12,12,0,1,100
2024-01-08,Mixed Adult,Room Based Capacity,North York,0,0,81,82,0,0.9878048780487805,98.78048780487805
2024-01-08,Mixed Adult,Room Based Capacity,North York,0,0,15,15,0,1,100
2024-01-08,Mixed Adult,Room Based Capacity,North York,0,0,75,75,0,1,100
2024-01-08,Men,Bed Based Capacity,Toronto,12,18,0,0,0.6666666666666666,0,66.66666666666666
2024-01-08,Women,Room Based Capacity,Scarborough,0,0,103,103,0,1,100
2024-01-08,Families,Room Based Capacity,Toronto,0,0,42,42,0,1,100
2024-01-08,Families,Room Based Capacity,Toronto,0,0,46,46,0,1,100
2024-01-08,Families,Room Based Capacity,Toronto,0,0,18,19,0,0.9473684210526315,94.73684210526315
2024-01-08,Men,Bed Based Capacity,Toronto,64,68,0,0,0.9411764705882353,0,94.11764705882352
2024-01-08,Mixed Adult,Room Based Capacity,Vaughan,0,0,64,69,0,0.927536231884058,92.7536231884058
2024-01-08,Men,Bed Based Capacity,Toronto,45,48,0,0,0.9375,0,93.75
2024-01-08,Men,Bed Based Capacity,Toronto,101,101,0,0,1,0,100
2024-01-08,Families,Room Based Capacity,Toronto,0,0,32,32,0,1,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,38,48,0,0,0.7916666666666666,0,79.16666666666666
2024-01-08,Mixed Adult,Room Based Capacity,NA,0,0,133,133,0,1,100
2024-01-08,Mixed Adult,Room Based Capacity,NA,0,0,13,13,0,1,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,92,93,0,0,0.989247311827957,0,98.9247311827957
2024-01-08,Men,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,67,67,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,120,120,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,34,36,0,0,0.9444444444444444,0,94.44444444444444
2024-01-08,Men,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,53,53,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,105,105,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,33,35,0,0,0.9428571428571428,0,94.28571428571428
2024-01-08,Mixed Adult,Room Based Capacity,Toronto,0,0,61,65,0,0.9384615384615385,93.84615384615384
2024-01-08,Women,Bed Based Capacity,Toronto,88,88,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-08,Youth,Bed Based Capacity,Toronto,2,2,0,0,1,0,100
2024-01-08,Youth,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-08,Youth,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-08,Youth,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Scarborough,50,50,0,0,1,0,100
2024-01-08,Mixed Adult,Room Based Capacity,Toronto,0,0,81,83,0,0.9759036144578314,97.59036144578313
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-08,Youth,Bed Based Capacity,Toronto,49,50,0,0,0.98,0,98
2024-01-08,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-08,Youth,Room Based Capacity,Scarborough,0,0,46,46,0,1,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,5,5,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,8,10,0,0,0.8,0,80
2024-01-08,Women,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-08,Women,Bed Based Capacity,Toronto,23,25,0,0,0.92,0,92
2024-01-08,Women,Bed Based Capacity,Toronto,51,52,0,0,0.9807692307692307,0,98.07692307692307
2024-01-08,Women,Bed Based Capacity,Toronto,36,36,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,69,69,0,0,1,0,100
2024-01-08,Mixed Adult,Room Based Capacity,North York,0,0,267,267,0,1,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,63,70,0,0,0.9,0,90
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,37,37,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,119,120,0,0,0.9916666666666667,0,99.16666666666667
2024-01-08,Youth,Bed Based Capacity,Toronto,6,6,0,0,1,0,100
2024-01-08,Youth,Bed Based Capacity,Toronto,25,26,0,0,0.9615384615384616,0,96.15384615384616
2024-01-08,Men,Bed Based Capacity,Toronto,24,25,0,0,0.96,0,96
2024-01-08,Men,Bed Based Capacity,Toronto,35,35,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,4,5,0,0,0.8,0,80
2024-01-08,Men,Room Based Capacity,Toronto,0,0,47,47,0,1,100
2024-01-08,Women,Bed Based Capacity,Toronto,61,61,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Toronto,110,110,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,34,34,0,0,1,0,100
2024-01-08,Women,Bed Based Capacity,Toronto,66,66,0,0,1,0,100
2024-01-08,Men,Bed Based Capacity,Toronto,73,73,0,0,1,0,100
2024-01-08,Mixed Adult,Bed Based Capacity,Scarborough,89,89,0,0,1,0,100
2024-01-08,Mixed Adult,Room Based Capacity,Toronto,0,0,7,7,0,1,100
2024-01-08,Men,Bed Based Capacity,North York,278,278,0,0,1,0,100
