occupancy_date,sector,capacity_type,location_city,occupancy_rate
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,97.41379310344828
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,96
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,80
2024-01-04,Men,Room Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-04,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,North York,100
2024-01-04,Women,Bed Based Capacity,North York,100
2024-01-04,Men,Bed Based Capacity,North York,100
2024-01-04,Women,Bed Based Capacity,North York,100
2024-01-04,Mixed Adult,Room Based Capacity,Scarborough,100
2024-01-04,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,NA,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-04,Youth,Bed Based Capacity,Toronto,91.66666666666666
2024-01-04,Youth,Bed Based Capacity,Toronto,80
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Men,Room Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Women,Room Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,98.7012987012987
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,92.5925925925926
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Women,Room Based Capacity,North York,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Room Based Capacity,Scarborough,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Room Based Capacity,North York,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,96.875
2024-01-04,Women,Bed Based Capacity,NA,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Etobicoke,100
2024-01-04,Youth,Bed Based Capacity,Etobicoke,95
2024-01-04,Youth,Bed Based Capacity,Scarborough,100
2024-01-04,Youth,Bed Based Capacity,Scarborough,97.5609756097561
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,North York,100
2024-01-05,Families,Room Based Capacity,North York,100
2024-01-05,Mixed Adult,Room Based Capacity,Etobicoke,100
2024-01-05,Men,Room Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,95.65217391304348
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Room Based Capacity,North York,100
2024-01-05,Mixed Adult,Room Based Capacity,North York,98.78048780487804
2024-01-05,Mixed Adult,Room Based Capacity,North York,100
2024-01-05,Mixed Adult,Room Based Capacity,North York,98.66666666666669
2024-01-05,Men,Bed Based Capacity,Toronto,72.22222222222221
2024-01-05,Women,Room Based Capacity,Scarborough,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,92.64705882352942
2024-01-05,Mixed Adult,Room Based Capacity,Vaughan,94.20289855072464
2024-01-05,Men,Bed Based Capacity,Toronto,95.83333333333334
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,91.66666666666666
2024-01-05,Mixed Adult,Room Based Capacity,NA,100
2024-01-05,Mixed Adult,Room Based Capacity,NA,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,98.9247311827957
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,83.33333333333334
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,94.28571428571428
2024-01-05,Mixed Adult,Room Based Capacity,Toronto,95.3846153846154
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,50
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,96.66666666666669
2024-01-05,Youth,Bed Based Capacity,Toronto,96.42857142857144
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,99.15966386554622
2024-01-05,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-05,Mixed Adult,Room Based Capacity,Toronto,97.59036144578312
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,96.7741935483871
2024-01-05,Youth,Bed Based Capacity,Toronto,98
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Room Based Capacity,Scarborough,97.82608695652172
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,63.63636363636363
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,92
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Room Based Capacity,North York,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,90
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,98.27586206896552
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,99.13793103448276
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,96.15384615384616
2024-01-05,Men,Bed Based Capacity,Toronto,92
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,80
2024-01-05,Men,Room Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,98.64864864864865
2024-01-05,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-05,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,North York,100
2024-01-05,Women,Bed Based Capacity,North York,100
2024-01-05,Men,Bed Based Capacity,North York,100
2024-01-05,Women,Bed Based Capacity,North York,100
2024-01-05,Mixed Adult,Room Based Capacity,Scarborough,100
2024-01-05,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,NA,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-05,Youth,Bed Based Capacity,Toronto,91.66666666666666
2024-01-05,Youth,Bed Based Capacity,Toronto,80
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,98.61111111111111
2024-01-05,Men,Room Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Room Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,Toronto,92.5925925925926
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Women,Room Based Capacity,North York,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Room Based Capacity,Scarborough,99.23664122137404
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Room Based Capacity,North York,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Men,Bed Based Capacity,Toronto,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,NA,100
2024-01-05,Families,Room Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Women,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Toronto,100
2024-01-05,Youth,Bed Based Capacity,Etobicoke,100
2024-01-05,Youth,Bed Based Capacity,Etobicoke,95
2024-01-05,Youth,Bed Based Capacity,Scarborough,100
2024-01-05,Youth,Bed Based Capacity,Scarborough,97.5609756097561
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Families,Room Based Capacity,North York,100
2024-01-06,Families,Room Based Capacity,North York,100
2024-01-06,Mixed Adult,Room Based Capacity,Etobicoke,100
2024-01-06,Men,Room Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,95
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Room Based Capacity,North York,100
2024-01-06,Mixed Adult,Room Based Capacity,North York,98.78048780487804
2024-01-06,Mixed Adult,Room Based Capacity,North York,100
2024-01-06,Mixed Adult,Room Based Capacity,North York,100
2024-01-06,Men,Bed Based Capacity,Toronto,66.66666666666666
2024-01-06,Women,Room Based Capacity,Scarborough,100
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Families,Room Based Capacity,Toronto,97.87234042553192
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,92.64705882352942
2024-01-06,Mixed Adult,Room Based Capacity,Vaughan,94.20289855072464
2024-01-06,Men,Bed Based Capacity,Toronto,95.83333333333334
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,85.41666666666666
2024-01-06,Mixed Adult,Room Based Capacity,NA,100
2024-01-06,Mixed Adult,Room Based Capacity,NA,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,98.9247311827957
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,83.33333333333334
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,91.42857142857144
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,96.92307692307692
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,96.42857142857144
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,97.59036144578312
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,88
2024-01-06,Youth,Bed Based Capacity,Toronto,98
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Room Based Capacity,Scarborough,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,63.63636363636363
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,92
2024-01-06,Women,Bed Based Capacity,Toronto,98.07692307692308
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Room Based Capacity,North York,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,90
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,74.13793103448276
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,96.15384615384616
2024-01-06,Men,Bed Based Capacity,Toronto,92
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,80
2024-01-06,Men,Room Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,North York,100
2024-01-06,Women,Bed Based Capacity,North York,100
2024-01-06,Men,Bed Based Capacity,North York,83.33333333333334
2024-01-06,Women,Bed Based Capacity,North York,100
2024-01-06,Mixed Adult,Room Based Capacity,Scarborough,100
2024-01-06,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,NA,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-06,Youth,Bed Based Capacity,Toronto,91.66666666666666
2024-01-06,Youth,Bed Based Capacity,Toronto,80
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Men,Room Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Women,Room Based Capacity,Toronto,100
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Families,Room Based Capacity,Toronto,92.5925925925926
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Women,Room Based Capacity,North York,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Room Based Capacity,Scarborough,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Room Based Capacity,North York,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Men,Bed Based Capacity,Toronto,100
2024-01-06,Families,Room Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,NA,100
2024-01-06,Families,Room Based Capacity,Toronto,96.29629629629628
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Women,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Toronto,100
2024-01-06,Youth,Bed Based Capacity,Etobicoke,100
2024-01-06,Youth,Bed Based Capacity,Etobicoke,95
2024-01-06,Youth,Bed Based Capacity,Scarborough,100
2024-01-06,Youth,Bed Based Capacity,Scarborough,97.5609756097561
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,North York,100
2024-01-07,Families,Room Based Capacity,North York,100
2024-01-07,Mixed Adult,Room Based Capacity,Etobicoke,100
2024-01-07,Men,Room Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,98.78048780487804
2024-01-07,Mixed Adult,Room Based Capacity,North York,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,100
2024-01-07,Men,Bed Based Capacity,Toronto,66.66666666666666
2024-01-07,Women,Room Based Capacity,Scarborough,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,94.73684210526316
2024-01-07,Men,Bed Based Capacity,Toronto,92.64705882352942
2024-01-07,Mixed Adult,Room Based Capacity,Vaughan,92.7536231884058
2024-01-07,Men,Bed Based Capacity,Toronto,95.83333333333334
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,81.25
2024-01-07,Mixed Adult,Room Based Capacity,NA,100
2024-01-07,Mixed Adult,Room Based Capacity,NA,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,98.9247311827957
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,91.66666666666666
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,94.28571428571428
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,98.46153846153848
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,96.42857142857144
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,97.59036144578312
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,98
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Room Based Capacity,Scarborough,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,63.63636363636363
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,92
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Room Based Capacity,North York,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,88.57142857142857
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,97.67441860465117
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,99.15966386554622
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,96.15384615384616
2024-01-07,Men,Bed Based Capacity,Toronto,92
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,80
2024-01-07,Men,Room Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,North York,100
2024-01-07,Women,Bed Based Capacity,North York,100
2024-01-07,Men,Bed Based Capacity,North York,100
2024-01-07,Women,Bed Based Capacity,North York,100
2024-01-07,Mixed Adult,Room Based Capacity,Scarborough,100
2024-01-07,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,NA,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,98.79518072289156
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-07,Youth,Bed Based Capacity,Toronto,91.66666666666666
2024-01-07,Youth,Bed Based Capacity,Toronto,80
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Men,Room Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Room Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,92.5925925925926
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Women,Room Based Capacity,North York,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Room Based Capacity,Scarborough,100
2024-01-07,Men,Bed Based Capacity,Toronto,99.62121212121212
2024-01-07,Men,Room Based Capacity,North York,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Men,Bed Based Capacity,Toronto,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,NA,100
2024-01-07,Families,Room Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Women,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Toronto,100
2024-01-07,Youth,Bed Based Capacity,Etobicoke,100
2024-01-07,Youth,Bed Based Capacity,Etobicoke,95
2024-01-07,Youth,Bed Based Capacity,Scarborough,100
2024-01-07,Youth,Bed Based Capacity,Scarborough,97.5609756097561
2024-01-08,Families,Room Based Capacity,Toronto,99.33333333333331
